Alcona,15.0,61.5,134,44,32.8,41,**,0,0,0,0,**,**
Alger,25.7,64.1,137,55,40.1,51,**,**,0,**,**,**,**
Allegan,21.0,51.1,"2,656",966,36.4,929,30,**,**,7,0.7,37,3.8
Alpena,23.5,71.6,535,218,40.7,216,**,0,0,0,0,**,**
Antrim,17.1,52.6,390,182,46.7,179,**,0,0,0,0,**,**
Arenac,16.9,58.2,226,153,67.7,151,**,**,0,**,**,**,**
Baraga,30.9,71.7,143,98,68.5,98,0,0,0,0,0,0,0
Barry,24.5,57.3,"1,241",357,28.8,345,**,**,**,**,**,12,3.4
Bay,32.1,75.6,"2,125","1,182",55.6,"1,134",36,**,**,12,1.0,48,4.1
Benzie,17.1,46.3,307,180,58.6,180,0,0,0,0,0,0,0
Berrien,26.5,72.2,"3,815","1,293",33.9,"1,245",22,**,**,26,2.0,48,3.7
Branch,27.8,65.3,"1,185",255,21.5,246,**,**,0,**,**,9,3.5
Calhoun,32.6,75.3,"3,338","1,067",32.0,"1,013",17,29,8,37,3.5,54,5.1
Cass,20.3,59.9,961,369,38.4,360,**,**,0,**,**,9,2.4
Charlevoix,19.8,54.4,487,188,38.6,186,**,**,0,**,**,**,**
Cheboygan,23.0,53.5,408,175,42.9,175,0,0,0,0,0,0,0
Chippewa,22.0,58.6,704,230,32.7,225,**,**,0,**,**,**,**
Clare,12.0,58.8,661,307,46.4,306,0,**,0,**,**,**,**
Clinton,22.1,52.8,"1,690",364,21.5,359,**,**,0,**,**,**,**
Crawford,10.5,55.6,224,70,31.3,69,0,**,0,**,**,**,**
Delta,32.4,68,728,341,46.8,323,11,7,0,7,2.1,18,5.3
Dickinson,36.4,71.7,533,180,33.8,180,0,0,0,0,0,0,0
Eaton,20.1,56.4,"2,305",610,26.5,585,11,14,0,14,2.3,25,4.1
Emmet,22.8,48.3,616,235,38.1,235,0,0,0,0,0,0,0
Genesee,19.9,68,"9,867","4,196",42.5,"4,090",56,**,**,50,1.2,106,2.5
Gladwin,12.0,49.5,499,215,43.1,213,**,**,0,**,**,**,**
Gogebic,46.4,76.7,237,115,48.5,108,**,**,0,**,**,7,6.1
Grand Traverse,14.8,43.5,"2,013",937,46.5,918,13,6,0,6,0.6,19,2.0
