48001,25.7,660,168,25.5,165,3,0,0,0,0,3,0,1.8,0.0
48002,25.8,219,24,11.0,23,1,0,0,0,0,1,0,4.2,0.0
48003,24.1,388,41,10.6,41,0,0,0,0,0,0,0,0.0,0.0
48005,32.5,294,43,14.6,42,1,0,0,0,0,1,0,2.3,0.0
48006,28.1,295,32,10.8,30,2,0,0,0,0,2,0,6.3,0.0
48009,39.8,"1,586",219,13.8,219,0,0,0,0,0,0,0,0.0,0.0
48014,36.9,321,65,20.2,65,0,0,0,0,0,0,0,0.0,0.0
48015,33.4,516,107,20.7,106,1,0,0,0,0,1,0,0.9,0.0
48017,20.9,761,138,18.1,138,0,0,0,0,0,0,0,0.0,0.0
48021,31.4,"2,569",592,23.0,580,9,1,1,1,0,12,2,2.0,0.3
48022,21.7,174,29,16.7,29,0,0,0,0,0,0,0,0.0,0.0
48023,16.7,330,42,12.7,42,0,0,0,0,0,0,0,0.0,0.0
48025,14.5,907,121,13.3,121,0,0,0,0,0,0,0,0.0,0.0
48026,7.3,811,137,16.9,134,3,0,0,0,0,3,0,2.2,0.0
48027,29.1,213,42,19.7,42,0,0,0,0,0,0,0,0.0,0.0
48028,32.0,26,2,7.7,2,0,0,0,0,0,0,0,0.0,0.0
48030,36.7,"1,280",289,22.6,282,6,0,1,0,0,7,1,2.4,0.3
48032,19.7,156,24,15.4,23,1,0,0,0,0,1,0,4.2,0.0
48033,*,821,262,31.9,262,0,0,0,0,0,0,0,0.0,0.0
48034,7.1,809,309,38.2,308,1,0,0,0,0,1,0,0.3,0.0
48035,5.5,"2,662",487,18.3,482,3,1,0,1,0,5,1,1.0,0.2
48036,4.7,"1,465",285,19.5,283,2,0,0,0,0,2,0,0.7,0.0
48038,0.9,"2,497",405,16.2,402,2,1,0,0,0,3,0,0.7,0.0
48039,41.7,464,95,20.5,88,7,0,0,0,0,7,0,7.4,0.0
48040,11.3,675,102,15.1,100,2,0,0,0,0,2,0,2.0,0.0
48041,28.0,270,35,13.0,35,0,0,0,0,0,0,0,0.0,0.0
48042,6.2,"2,366",239,10.1,239,0,0,0,0,0,0,0,0.0,0.0
48043,40.4,"1,180",200,16.9,192,5,0,1,2,0,8,3,4.0,1.5
48044,1.6,"4,252",474,11.1,471,3,0,0,0,0,3,0,0.6,0.0
48045,11.5,"1,392",232,16.7,230,2,0,0,0,0,2,0,0.9,0.0
48047,7.8,"3,062",339,11.1,333,5,0,0,0,1,6,1,1.8,0.3
48048,15.6,767,102,13.3,100,1,0,0,1,0,2,1,2.0,1.0
48049,14.2,335,72,21.5,70,2,0,0,0,0,2,0,2.8,0.0
48050,33.0,80,7,8.8,7,0,0,0,0,0,0,0,0.0,0.0
48051,5.1,"1,208",200,16.6,195,5,0,0,0,0,5,0,2.5,0.0
48054,24.9,369,56,15.2,54,2,0,0,0,0,2,0,3.6,0.0
