<<<<<<< HEAD
48206,Detroit,"1,665",644,38.7,,136,21.1
48211,Detroit/Hamtramck,694,252,36.3,,47,18.7
49073,Nashville,383,51,13.3,,9,17.6
48214,Detroit,"1,516",613,40.4,,107,17.5
48204,Detroit,"2,271",801,35.3,,131,16.4
48202,Detroit,955,391,40.9,,60,15.3
49247,Hudson,405,85,21.0,,13,15.3
48213,Detroit,"2,368",808,34.1,,108,13.4
48238,Detroit,"2,584",995,38.5,,128,12.9
48203,Detroit/Highland Park,"2,195",734,33.4,,95,12.9
49256,Morenci,318,55,17.3,,7,12.7
49221,Adrian,"2,982",638,21.4,,76,11.9
49507,Grand Rapids,"4,361",1309,30.0,,144,11.0
48205,Detroit,"4,233",1540,36.4,,164,10.6
48215,Detroit,"1,083",425,39.2,,42,9.9
48216,Detroit,506,131,25.9,,13,9.9
49504,Grand Rapids,"3,696",812,22.0,,76,9.4
49224,Albion,"1,065",153,14.4,,14,9.2
49442,Muskegon,"3,726",814,21.8,,73,9.0
48210,Detroit,"3,933",1559,39.6,,138,8.9
48224,Detroit,"4,024",1591,39.5,,139,8.7
49007,Kalamazoo,838,245,29.2,,21,8.6
48212,Detroit/Hamtramck,"4,007",1584,39.5,,134,8.5
49203,Jackson,"3,407",858,25.2,,73,8.5
49506,Grand Rapids,"2,563",434,16.9,,37,8.5
48209,Detroit,"4,220",1497,35.5,,124,8.3
48208,Detroit,854,301,35.2,,24,8.0
49858,Menominee,703,140,19.9,,11,7.9
49441,Muskegon,"2,587",486,18.8,,37,7.6
49454,Scottville,325,79,24.3,,6,7.6
49503,Grand Rapids,"3,180",829,26.1,,62,7.5
48207,Detroit,"1,326",561,42.3,,42,7.5
49079,Paw Paw,"1,056",109,10.3,,8,7.3
48227,Detroit,"3,524",1432,40.6,,103,7.2
48335,Farmington,"1,628",475,29.2,,34,7.2
48602,Saginaw,"2,819",776,27.5,,52,6.7
49431,Ludington,"1,208",256,21.2,,17,6.6
48221,Detroit,"2,476",942,38.0,,60,6.4
49913,Calumet,603,142,23.5,,9,6.3
48503,Flint,"2,111",502,23.8,,31,6.2
49017,Battle Creek,"1,430",353,24.7,,22,6.2
48708,Bay City,"2,246",472,21.0,,29,6.1
49058,Hastings,"1,432",163,11.4,,10,6.1
49444,Muskegon,"2,571",546,21.2,,33,6.0
"",,,Children Tested,,"Children with Elevated Blood LeadLevels*",,
