Alcona,12.4,61.5,397,47,11.8,45,2,0,0,0,0,0,0,0,0,2,0,4.3,0
Alger,29.5,64.1,464,86,18.5,85,1,0,0,0,0,0,0,0,0,1,0,1.2,0
Allegan,23.2,51.1,9073,1172,12.9,1131,34,4,3,0,0,0,0,0,0,41,3,3.5,0.3
Alpena,25.3,71.6,1816,297,16.4,288,8,0,1,0,0,0,0,0,0,9,1,3,0.3
Antrim,18.8,52.6,1447,261,18,259,2,0,0,0,0,0,0,0,0,2,0,0.8,0
Arenac,19.8,58.2,919,154,16.8,151,3,0,0,0,0,0,0,0,0,3,0,1.9,0
Baraga,34,71.7,533,113,21.2,110,3,0,0,0,0,0,0,0,0,3,0,2.7,0
Barry,27.1,57.3,4282,521,12.2,494,20,1,2,1,2,1,0,0,0,27,4,5.2,0.8
Bay,33.9,75.6,7516,1439,19.1,1338,86,1,5,1,4,1,2,0,0,100,11,6.9,0.8
Benzie,18.6,46.3,1104,229,20.7,222,6,0,0,0,1,0,0,0,0,7,1,3.1,0.4
Berrien,28.6,72.2,11542,1705,14.8,1615,78,2,5,0,3,0,2,0,0,90,10,5.3,0.6
Branch,30.9,65.3,3540,672,19,603,62,3,0,2,0,0,1,0,0,68,1,10.1,0.1
Calhoun,36.1,75.3,10545,2022,19.2,1942,65,2,4,0,3,0,5,0,0,79,12,3.9,0.6
Cass,22.4,59.9,3616,475,13.1,444,27,0,1,0,0,0,2,0,1,31,4,6.5,0.8
Charlevoix,25.3,54.4,1632,266,16.3,260,4,1,1,0,0,0,0,0,0,6,1,2.3,0.4
Cheboygan,20.9,53.5,1517,274,18.1,267,6,0,1,0,0,0,0,0,0,7,1,2.6,0.4
Chippewa,25.1,58.6,2384,430,18,413,17,0,0,0,0,0,0,0,0,17,0,4,0
Clare,14.5,58.8,2099,424,20.2,421,3,0,0,0,0,0,0,0,0,3,0,0.7,0
Clinton,22.5,52.8,5467,613,11.2,603,10,0,0,0,0,0,0,0,0,10,0,1.6,0
